date,tv_ad_spend,radio_ad_spend,social_media_spend,discount_percent,is_holiday,day_of_week,month,competitor_price,sales_units
01-01-2023,311.71,682.05,1260.91,21.48,0,6,1,89.82,555
02-01-2023,1024.87,384.79,931.73,10.71,0,0,1,109.83,282
03-01-2023,432.25,764.73,442.8,25.56,0,1,1,114.51,240
04-01-2023,474.19,538.1,1143.95,7.23,0,2,1,87.5,168
05-01-2023,1338.11,136.92,218.27,16.15,0,3,1,81.97,425
06-01-2023,907.27,713.82,1184.18,5.52,1,4,1,99.78,665
07-01-2023,1859.33,416.95,925.98,14.86,0,5,1,114.83,686
08-01-2023,774.48,156.23,255.05,4.57,0,6,1,109.29,105
09-01-2023,1507.12,164.52,211.31,4.85,0,0,1,111.58,94
10-01-2023,1029.98,565.65,1151.17,18.37,0,1,1,98.13,692
11-01-2023,1387.91,85.53,510.11,7.91,0,2,1,90.57,312
12-01-2023,1279.45,264.95,1345.02,5.17,1,3,1,103.93,624
13-01-2023,1051.01,154.84,1166.9,27.89,0,4,1,89.2,657
14-01-2023,1910.11,380.81,1077.47,1.29,0,5,1,112.68,534
15-01-2023,816.88,360.77,490.05,16.95,0,6,1,88.86,433
16-01-2023,519.02,441.41,1092.52,16.45,0,0,1,93.11,334
17-01-2023,1420.57,259.73,1427.41,7.52,0,1,1,102.79,523
18-01-2023,1722.81,74.03,228.18,13.58,0,2,1,101.9,425
19-01-2023,272.46,510.79,556.63,2.63,0,3,1,107.04,0
20-01-2023,1009.34,330.29,428.54,21.64,0,4,1,99.69,378
21-01-2023,1806.48,538.5,650.55,6.65,0,5,1,121.38,409
22-01-2023,1549.31,131.5,1139.27,5.8,0,6,1,117.8,376
23-01-2023,1985.25,60.33,763.94,9.45,1,0,1,119.56,681
24-01-2023,1156.54,236.22,899.02,27.07,0,1,1,108.33,652
25-01-2023,1387.99,392.41,539.82,23.89,0,2,1,108.58,546
26-01-2023,744.46,345.55,297.8,28.41,0,3,1,107.41,469
27-01-2023,1905.56,657.73,473.71,19.56,0,4,1,99.57,749
28-01-2023,859.4,333.38,1303.55,19.89,0,5,1,94.49,648
29-01-2023,1529.32,447.83,943.38,14.4,0,6,1,106.64,665
30-01-2023,925.65,495.14,629.18,27.16,0,0,1,81.15,770
31-01-2023,1211.27,66.37,1205.87,15.33,0,1,1,80.34,714
01-02-2023,1495.61,436.35,190.24,10.65,1,2,2,118.32,578
02-02-2023,1116.08,308.62,455.45,19.21,0,3,2,82.09,563
03-02-2023,1832.76,365.96,422.14,16.38,0,4,2,103.62,566
04-02-2023,954.74,125.22,1479.51,3.72,0,5,2,107.67,389
05-02-2023,1364.73,637.12,1088.54,11.78,0,6,2,88.92,855
06-02-2023,816.25,756.8,964.9,9.4,0,0,2,120.31,244
07-02-2023,934.68,66.7,106.98,25.41,0,1,2,88.55,478
08-02-2023,992.09,501.03,358.03,11.37,0,2,2,119.8,135
09-02-2023,426.45,622.88,989.76,24.65,0,3,2,114.33,383
10-02-2023,365.1,263.61,631.61,13.27,0,4,2,90.83,190
11-02-2023,1401.48,640.67,1393.99,22.61,0,5,2,86.78,1059
12-02-2023,1379.93,524.27,1170.61,4.06,0,6,2,94.23,684
13-02-2023,1393.24,746.87,726.34,27.74,0,0,2,97.91,813
14-02-2023,235.58,785.75,1149.32,14.42,0,1,2,91.06,390
15-02-2023,787.78,81.76,1465.57,7.79,0,2,2,124.95,92
16-02-2023,556.06,383.7,745.37,7.24,0,3,2,90.33,237
17-02-2023,1600.67,460.24,999.54,7.95,0,4,2,117.38,480
18-02-2023,1749.13,160.06,1386.13,11,0,5,2,87.16,946
19-02-2023,644.02,302.21,448.14,21.53,0,6,2,124.11,286
20-02-2023,1402.13,790.74,1341.18,28.49,0,0,2,90.15,1071
21-02-2023,432.85,62.17,236.56,20.07,0,1,2,98.98,153
22-02-2023,695.27,389.38,1007.83,16.41,0,2,2,105.14,389
23-02-2023,449.58,681.99,1195.97,13.46,0,3,2,85.41,482
24-02-2023,710.34,292.93,960.45,24.85,0,4,2,116.76,410
25-02-2023,1414.53,409.85,793.75,25.49,0,5,2,92.36,903
26-02-2023,1838.59,783.53,964.29,8.79,0,6,2,104.72,765
27-02-2023,564.54,406.16,312.33,28.6,0,0,2,104.73,377
28-02-2023,1175.74,148.19,401.8,11.85,0,1,2,107.12,218
01-03-2023,1462.5,88.79,477.86,24,0,2,3,82.5,845
02-03-2023,1915.26,759.06,936.89,29,0,3,3,87.59,1312
03-03-2023,1298.11,249.36,718.66,21.11,0,4,3,87.25,632
04-03-2023,659.19,428.05,442.27,4.85,0,5,3,93.59,182
05-03-2023,1325.86,118.03,1335.93,17.58,0,6,3,86.52,818
06-03-2023,776.88,367.74,623.49,3.56,0,0,3,121.49,0
07-03-2023,1957.03,747.58,724.44,23.67,0,1,3,103.08,971
08-03-2023,919.42,426.81,673.58,8.44,0,2,3,108.06,265
09-03-2023,1433.77,778.35,354.72,20.86,0,3,3,96.09,697
10-03-2023,241.81,244.13,1124.28,27.3,0,4,3,92.43,574
11-03-2023,920.11,428.41,727.84,5.43,0,5,3,102.64,301
12-03-2023,1775.19,694.65,122.76,11.79,0,6,3,93.24,677
13-03-2023,1298.41,386.19,1449.62,19.41,0,0,3,95.46,795
14-03-2023,999.1,259.62,1242.07,12.59,0,1,3,100.37,393
15-03-2023,1884.69,691.61,1112.98,5.24,0,2,3,102.76,583
16-03-2023,1737.17,342.42,1316.73,0.87,0,3,3,124.29,293
17-03-2023,779.99,448.04,1369.53,12.2,0,4,3,90.05,584
18-03-2023,1180.19,782.4,572.49,19.48,0,5,3,101.96,718
19-03-2023,1081.68,189.86,955.34,17.22,0,6,3,86.73,752
20-03-2023,1337.96,276.05,952.33,4.69,0,0,3,95.75,310
21-03-2023,801.4,73.3,474.22,13.52,0,1,3,112.28,70
22-03-2023,639.57,343.88,410.73,11.08,0,2,3,87.85,302
